run_id,H,k,latency_ms
pszH1_k8_anthropic,1,8,21046.71
pszH1_k8_anthropic,1,8,21840.43
pszH1_k8_anthropic,1,8,19699.14
pszH1_k8_anthropic,1,8,21992.18
pszH1_k8_anthropic,1,8,25051.30
pszH1_k8_anthropic,1,8,20229.92
pszH1_k8_anthropic,1,8,18256.75
pszH1_k8_anthropic,1,8,19654.14
pszH1_k8_anthropic,1,8,24026.72
pszH1_k8_anthropic,1,8,18584.72
pszH1_k8_anthropic,1,8,15019.55
pszH1_k8_anthropic,1,8,21601.04
pszH1_k8_anthropic,1,8,17348.94
pszH1_k8_anthropic,1,8,19290.57
pszH1_k8_anthropic,1,8,12858.95
pszH1_k8_anthropic,1,8,18298.66
pszH1_k8_anthropic,1,8,14790.15
pszH1_k8_anthropic,1,8,13892.11
pszH1_k8_anthropic,1,8,15676.76
pszH1_k8_anthropic,1,8,15894.82
pszH1_k8_anthropic,1,8,12968.83
