variant,algo,seed,loop_redundancy,clipped_redundancy,unique_coverage,backtrack_rate,path_length
ultra50,simple,101,4.9779005524861875,4.9779005524861875,0.560488346281909,0.14,901
N/A,dfs,101,1.0,1.0,1.0,0.0,900
N/A,random,101,4.717277486910994,4.717277486910994,0.4572697003329634,0.2111111111111111,901
ultra50,simple,202,2.705705705705706,2.705705705705706,0.6381798002219756,0.11888888888888889,901
N/A,dfs,202,1.0,1.0,1.0,0.0,549
N/A,random,202,53.0,53.0,0.36403995560488345,0.19666666666666666,901
ultra50hd,simple,101,3.6184738955823295,3.6184738955823295,0.33518312985571586,0.21666666666666667,901
N/A,dfs,101,1.0,1.0,1.0,0.0,495
N/A,random,101,5.596273291925466,5.596273291925466,0.25527192008879024,0.4222222222222222,901
ultra50hd,simple,202,4.76595744680851,4.76595744680851,0.23883928571428573,0.24804469273743016,896
N/A,dfs,202,1.0,1.0,1.0,0.0,495
N/A,random,202,9.688172043010752,9.688172043010752,0.1598224195338513,0.45444444444444443,901
