maze_name,algorithm,algorithm_name,trials_count,convergence_time,path_length,solution_quality,success_rate,exploration_efficiency,memory_usage_mb,gedig_score
Simple_10x10,A_Star,A_Star,92,0.000322723388671875,19,1.0,1.0,0.20652173913043476,0.002,0.0
Simple_10x10,Dijkstra,Dijkstra,94,0.00017905235290527344,19,1.0,1.0,0.20212765957446804,0.0,0.0
Simple_10x10,Reinforcement_Learning,Reinforcement_Learning,23475,0.011161422729492188,15,0.64,0.8,0.008403348028386902,0.7700000000000001,0.0
Simple_10x10,Genetic_Algorithm,Genetic_Algorithm,50,0.0030336380004882812,19,0.7,1.0,0.388,5.0,0.0
Simple_10x10,SlimeMold_GEDIG,SlimeMold_GEDIG,5,0.012372159957885742,19,0.95,1.0,3.8,3.2,2.68525829879017
Complex_20x20,A_Star,A_Star,279,0.0007445335388183594,39,1.0,1.0,0.13978494623655913,0.001,0.0
Complex_20x20,Dijkstra,Dijkstra,280,0.0006471633911132813,39,1.0,1.0,0.1392857142857143,0.0,0.0
Complex_20x20,Reinforcement_Learning,Reinforcement_Learning,71396,0.040505170822143555,16,0.32,0.4,0.0014055819212411857,1.9920000000000002,0.0
Complex_20x20,Genetic_Algorithm,Genetic_Algorithm,50,0.005323600769042969,42,0.7,1.0,0.8440000000000001,5.0,0.0
Complex_20x20,SlimeMold_GEDIG,SlimeMold_GEDIG,5,0.1295551300048828,3,0.0,0.0,0.6,12.84,3.4794500822423418
Dynamic_15x15,A_Star,A_Star,194,0.0005605220794677734,29,1.0,1.0,0.14948453608247422,0.003,0.0
Dynamic_15x15,Dijkstra,Dijkstra,198,0.000605010986328125,29,1.0,1.0,0.14646464646464646,0.0,0.0
Dynamic_15x15,Reinforcement_Learning,Reinforcement_Learning,21053,0.019754791259765626,33,0.8,1.0,0.005462217183862428,2.9859999999999998,0.0
Dynamic_15x15,Genetic_Algorithm,Genetic_Algorithm,50,0.004493427276611328,31,0.7,1.0,0.636,5.0,0.0
Dynamic_15x15,SlimeMold_GEDIG,SlimeMold_GEDIG,5,0.038596820831298825,29,0.95,1.0,5.8,6.42,3.1490775184388586
MultiGoal_12x12,A_Star,A_Star,137,0.000302886962890625,23,1.0,1.0,0.1678832116788321,0.001,0.0
MultiGoal_12x12,Dijkstra,Dijkstra,138,0.0002762317657470703,23,1.0,1.0,0.16666666666666666,0.0,0.0
MultiGoal_12x12,Reinforcement_Learning,Reinforcement_Learning,7783,0.006158351898193359,23,0.8,1.0,0.023964302213228223,3.15,0.0
MultiGoal_12x12,Genetic_Algorithm,Genetic_Algorithm,50,0.003976964950561523,23,0.7,1.0,0.4680000000000001,5.0,0.0
MultiGoal_12x12,SlimeMold_GEDIG,SlimeMold_GEDIG,5,0.024071121215820314,23,0.95,1.0,4.6,4.88,2.890109269659867
