index,query,value,reason
0,How does Python's GIL affect multithreading?,LOW,Already covered in knowledge base
1,What causes overfitting in machine learning?,LOW,Already covered in knowledge base
2,How do transformers compare to RNNs for sequence modeling?,LOW,Already covered in knowledge base
3,What's the relationship between gradient descent and backpropagation?,LOW,Already covered in knowledge base
4,How can we overcome GIL limitations in Python?,MEDIUM,Extends existing knowledge
5,What are advanced regularization techniques beyond L1/L2?,HIGH,New important concept/technique
6,How does attention mechanism work in transformers?,MEDIUM,Extends existing knowledge
7,What is transfer learning and when to use it?,HIGH,New important concept/technique
8,Explain the vanishing gradient problem,HIGH,New important concept/technique
9,How do GANs generate realistic images?,HIGH,New important concept/technique
10,Compare CNN and transformer architectures for vision tasks,MEDIUM,Extends existing knowledge
11,When to use LSTM vs GRU vs Transformer?,HIGH,New important concept/technique
12,How does automatic differentiation work in PyTorch?,HIGH,New important concept/technique
13,Explain the mathematics behind batch normalization,HIGH,New important concept/technique
14,Best practices for deploying ML models in production,HIGH,New important concept/technique
15,How to handle imbalanced datasets?,HIGH,New important concept/technique
16,Deep dive into Python memory management internals,MEDIUM,Extends existing knowledge
17,Advanced optimization techniques for deep learning,MEDIUM,Extends existing knowledge
18,State-of-the-art NLP architectures beyond BERT,HIGH,New important concept/technique
