config_name,params,update_rate,updates_applied,final_nodes,final_edges,avg_gedig,positive_rate,gedig_scores,avg_similarity,performance_score
Ultra Aggressive,"{'k': 0.05, 'node_weight': 0.3, 'edge_weight': 0.2, 'novelty_weight': 0.3}",0.0,0,13,29,0,0.0,[],0.16543169912480382,0.4756451612903226
Aggressive,"{'k': 0.1, 'node_weight': 0.25, 'edge_weight': 0.15, 'novelty_weight': 0.4}",0.0,0,13,29,0,0.0,[],0.16543169912480382,0.4756451612903226
Balanced,"{'k': 0.15, 'node_weight': 0.2, 'edge_weight': 0.1, 'novelty_weight': 0.5}",0.0,0,13,29,0,0.0,[],0.16543169912480382,0.4756451612903226
Moderate,"{'k': 0.2, 'node_weight': 0.15, 'edge_weight': 0.08, 'novelty_weight': 0.5}",0.0,0,13,29,0,0.0,[],0.16543169912480382,0.4756451612903226
Conservative (Original),"{'k': 0.3, 'node_weight': 0.1, 'edge_weight': 0.05, 'novelty_weight': 0.5}",0.0,0,13,29,0,0.0,[],0.16543169912480382,0.4756451612903226
Very Conservative,"{'k': 0.5, 'node_weight': 0.05, 'edge_weight': 0.02, 'novelty_weight': 0.7}",0.0,0,13,29,0,0.0,[],0.16543169912480382,0.4756451612903226
STATIC (Baseline),,0.0,0,13,29,0,0.0,[],0.16543169912480382,0.4756451612903226
FREQUENCY (Baseline),,1.0,19,32,31,0,0.0,[],0.18003721493503247,0.8049999999999999
COSINE (Baseline),,1.0,19,32,31,0,0.0,[],0.18003721493503247,0.8049999999999999
