query_id,query,category,answerable_with_existing,relevant_existing_knowledge,actual_usefulness,usefulness_reason,decision,correct_decision,decision_quality
1,How does Python's GIL affect multithreading?,Direct,True,python_gil,LOW,Directly answerable with existing knowledge,ACCEPTED,False,BAD (accepted redundant)
2,What causes overfitting in machine learning?,Direct,True,overfitting,LOW,Directly answerable with existing knowledge,ACCEPTED,False,BAD (accepted redundant)
3,How do transformers compare to RNNs for sequence modeling?,Direct,True,transformers,LOW,Directly answerable with existing knowledge,REJECTED,True,GOOD
4,What's the relationship between gradient descent and backpropagation?,Direct,True,"gradient_descent, backpropagation",LOW,Directly answerable with existing knowledge,REJECTED,True,GOOD
5,How can we overcome GIL limitations in Python?,Direct,partial,python_gil,MEDIUM,Extends existing knowledge,REJECTED,True,ACCEPTABLE
6,What are advanced regularization techniques beyond L1/L2?,Synthesis,False,None,HIGH,Goes beyond basic L1/L2 knowledge,ACCEPTED,True,GOOD
7,How does attention mechanism work in transformers?,Synthesis,False,None,MEDIUM,Deepens transformer understanding,REJECTED,True,ACCEPTABLE
8,What is transfer learning and when to use it?,Synthesis,False,None,HIGH,New concept not in knowledge base,REJECTED,False,BAD (missed valuable)
9,Explain the vanishing gradient problem,Synthesis,False,None,HIGH,Important concept not covered,ACCEPTED,True,GOOD
10,How do GANs generate realistic images?,Synthesis,False,None,HIGH,Completely new architecture type,REJECTED,False,BAD (missed valuable)
11,Compare CNN and transformer architectures for vision tasks,Extension,False,None,MEDIUM,Extends existing knowledge,REJECTED,True,ACCEPTABLE
12,When to use LSTM vs GRU vs Transformer?,Extension,False,None,HIGH,Practical comparison not in KB,ACCEPTED,True,GOOD
13,How does automatic differentiation work in PyTorch?,Extension,False,None,HIGH,Implementation details not covered,REJECTED,False,BAD (missed valuable)
14,Explain the mathematics behind batch normalization,Extension,False,None,HIGH,Important technique not in KB,REJECTED,False,BAD (missed valuable)
15,Best practices for deploying ML models in production,Extension,False,None,HIGH,Production aspects not covered,ACCEPTED,True,GOOD
16,How to handle imbalanced datasets?,Novel,False,None,HIGH,Practical problem not addressed,REJECTED,False,BAD (missed valuable)
17,Deep dive into Python memory management internals,Novel,False,None,MEDIUM,Deepens existing Python memory knowledge,REJECTED,True,ACCEPTABLE
18,Advanced optimization techniques for deep learning,Novel,False,None,MEDIUM,Extends gradient descent knowledge,ACCEPTED,True,ACCEPTABLE
19,State-of-the-art NLP architectures beyond BERT,Novel,False,None,HIGH,Cutting-edge developments,REJECTED,False,BAD (missed valuable)
