config,threshold_1hop,threshold_2hop,threshold_3hop,max_hops,acceptance_rate,avg_1hop_edges,avg_2hop_edges,avg_3hop_edges,avg_total_edges,avg_affected_2hop,avg_affected_3hop,multihop_activity
"Very Tight (0.3, 0.35, 0.4) - 1hop",0.3,0.35,0.4,1,9.523809523809524,0.19047619047619047,0.0,0.0,0.19047619047619047,0.0,0.0,0.0
"Very Tight (0.3, 0.35, 0.4) - 2hop",0.3,0.35,0.4,2,9.523809523809524,0.19047619047619047,0.0,0.0,0.19047619047619047,0.0,0.0,0.0
"Very Tight (0.3, 0.35, 0.4) - 3hop",0.3,0.35,0.4,3,9.523809523809524,0.19047619047619047,0.0,0.0,0.19047619047619047,0.0,0.0,0.0
"Tight (0.2, 0.25, 0.3) - 1hop",0.2,0.25,0.3,1,14.285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
"Tight (0.2, 0.25, 0.3) - 2hop",0.2,0.25,0.3,2,14.285714285714285,0.2857142857142857,0.03321061253831863,0.0,0.31892489825260434,0.23809523809523808,0.0,0.03321061253831863
"Tight (0.2, 0.25, 0.3) - 3hop",0.2,0.25,0.3,3,14.285714285714285,0.2857142857142857,0.03321061253831863,0.0,0.31892489825260434,0.23809523809523808,0.0,0.03321061253831863
"Standard (0.15, 0.2, 0.25) - 1hop",0.15,0.2,0.25,1,14.285714285714285,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
"Standard (0.15, 0.2, 0.25) - 2hop",0.15,0.2,0.25,2,14.285714285714285,0.2857142857142857,0.03321061253831863,0.0,0.31892489825260434,0.23809523809523808,0.0,0.03321061253831863
"Standard (0.15, 0.2, 0.25) - 3hop",0.15,0.2,0.25,3,14.285714285714285,0.2857142857142857,0.03321061253831863,0.0,0.31892489825260434,0.23809523809523808,0.0,0.03321061253831863
"Relaxed (0.1, 0.15, 0.2) - 1hop",0.1,0.15,0.2,1,61.904761904761905,1.0952380952380953,0.0,0.0,1.0952380952380953,0.0,0.0,0.0
"Relaxed (0.1, 0.15, 0.2) - 2hop",0.1,0.15,0.2,2,61.904761904761905,1.0952380952380953,0.04221333426096601,0.0,1.1374514294990614,0.23809523809523808,0.0,0.04221333426096601
"Relaxed (0.1, 0.15, 0.2) - 3hop",0.1,0.15,0.2,3,61.904761904761905,1.0952380952380953,0.04221333426096601,0.0,1.1374514294990614,0.23809523809523808,0.0,0.04221333426096601
"Very Relaxed (0.05, 0.1, 0.15) - 1hop",0.05,0.1,0.15,1,100.0,4.333333333333333,0.0,0.0,4.333333333333333,0.0,0.0,0.0
"Very Relaxed (0.05, 0.1, 0.15) - 2hop",0.05,0.1,0.15,2,100.0,4.333333333333333,0.04221333426096601,0.0,4.3755466675943,0.23809523809523808,0.0,0.04221333426096601
"Very Relaxed (0.05, 0.1, 0.15) - 3hop",0.05,0.1,0.15,3,100.0,4.333333333333333,0.04221333426096601,0.0,4.3755466675943,0.23809523809523808,0.0,0.04221333426096601
"Ultra Relaxed (0.02, 0.05, 0.08) - 1hop",0.02,0.05,0.08,1,100.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0
"Ultra Relaxed (0.02, 0.05, 0.08) - 2hop",0.02,0.05,0.08,2,100.0,5.0,0.09143929722791133,0.0,5.091439297227911,1.619047619047619,0.0,0.09143929722791133
"Ultra Relaxed (0.02, 0.05, 0.08) - 3hop",0.02,0.05,0.08,3,100.0,5.0,0.09143929722791133,0.007130160613630386,5.098569457841542,1.619047619047619,0.2857142857142857,0.09856945784154172
"Progressive (0.1, 0.08, 0.06) - 1hop",0.1,0.08,0.06,1,61.904761904761905,1.0952380952380953,0.0,0.0,1.0952380952380953,0.0,0.0,0.0
"Progressive (0.1, 0.08, 0.06) - 2hop",0.1,0.08,0.06,2,61.904761904761905,1.0952380952380953,0.04221333426096601,0.0,1.1374514294990614,0.23809523809523808,0.0,0.04221333426096601
"Progressive (0.1, 0.08, 0.06) - 3hop",0.1,0.08,0.06,3,61.904761904761905,1.0952380952380953,0.04221333426096601,0.0026754311784959206,1.1401268606775572,0.23809523809523808,0.09523809523809523,0.04488876543946193
"Inverse Progressive (0.05, 0.1, 0.15) - 1hop",0.05,0.1,0.15,1,100.0,4.333333333333333,0.0,0.0,4.333333333333333,0.0,0.0,0.0
"Inverse Progressive (0.05, 0.1, 0.15) - 2hop",0.05,0.1,0.15,2,100.0,4.333333333333333,0.07201733025052887,0.0,4.405350663583862,1.0,0.0,0.07201733025052887
"Inverse Progressive (0.05, 0.1, 0.15) - 3hop",0.05,0.1,0.15,3,100.0,4.333333333333333,0.07201733025052887,0.0,4.405350663583862,1.0,0.0,0.07201733025052887
