insight_id,spike_id,insight_type,insight_description,trigger_episode_range,delta_ged,delta_ig,confidence_score,knowledge_category,impact_level,generation_timestamp
INS_001_001,1,初期学習段階での大きな情報獲得,システムが初期学習段階での大きな情報獲得において、ΔGED=2.1001、ΔIG=44.6015の大幅な変化を検出。これは新しい概念的理解の獲得を示している。,1-200,2.1001,44.6015,0.95,基礎概念学習,Very High,2025-06-18 02:46:25
INS_001_002,1,関連概念発見_1,主要洞察に関連して、システムは概念間の新しい関係性パターンを発見。この発見により既存知識の再構成が促進された。,1-200,1.4700699999999998,17.840600000000002,0.85,基礎概念学習,High,2025-06-18 02:46:25
INS_002_001,2,中期段階での構造的理解の発展,システムが中期段階での構造的理解の発展において、ΔGED=2.0896、ΔIG=18.2872の大幅な変化を検出。これは新しい概念的理解の獲得を示している。,201-400,2.0896,18.2872,0.865744,構造的理解,High,2025-06-18 02:46:25
INS_002_002,2,関連概念発見_2,主要洞察に関連して、システムは概念間の新しい関係性パターンを発見。この発見により既存知識の再構成が促進された。,201-400,1.4627199999999998,7.31488,0.7047866666666667,構造的理解,Medium,2025-06-18 02:46:25
INS_003_001,3,概念統合による知識体系化,システムが概念統合による知識体系化において、ΔGED=2.0845、ΔIG=8.9837の大幅な変化を検出。これは新しい概念的理解の獲得を示している。,401-600,2.0845,8.9837,0.679674,概念統合,Medium,2025-06-18 02:46:25
INS_003_002,3,関連概念発見_3,主要洞察に関連して、システムは概念間の新しい関係性パターンを発見。この発見により既存知識の再構成が促進された。,401-600,1.4591499999999997,3.5934800000000005,0.5497283333333334,概念統合,Medium,2025-06-18 02:46:25
INS_004_001,4,細分化された専門知識の獲得,システムが細分化された専門知識の獲得において、ΔGED=2.0814、ΔIG=3.6017の大幅な変化を検出。これは新しい概念的理解の獲得を示している。,601-800,2.0814,3.6017,0.572034,専門知識,Medium,2025-06-18 02:46:25
INS_004_002,4,関連概念発見_4,主要洞察に関連して、システムは概念間の新しい関係性パターンを発見。この発見により既存知識の再構成が促進された。,601-800,1.45698,1.4406800000000002,0.4600283333333334,専門知識,Low,2025-06-18 02:46:25
INS_005_001,5,継続的学習による知識精緻化,システムが継続的学習による知識精緻化において、ΔGED=2.0804、ΔIG=1.5295の大幅な変化を検出。これは新しい概念的理解の獲得を示している。,801-1000,2.0804,1.5295,0.53059,知識精緻化,Low,2025-06-18 02:46:25
INS_005_002,5,関連概念発見_5,主要洞察に関連して、システムは概念間の新しい関係性パターンを発見。この発見により既存知識の再構成が促進された。,801-1000,1.45628,0.6118000000000001,0.4254916666666667,知識精緻化,Very Low,2025-06-18 02:46:25
